game,net winnings,bet
1027,2.5,46.0
1028,-3.5,47.0
1029,-0.5,51.0
1030,14.0,52.0
1031,-1.5,51.0
1032,-5.0,49.0
1033,-16.5,104.0
1034,-22.0,103.0
1035,-1.0,51.0
1036,-2.5,182.0
1037,-13.0,44.0
1038,2.5,52.0
1039,4.5,45.0
1040,5.0,48.0
1041,-2.0,48.0
1042,-7.5,48.0
1043,-0.5,50.0
1044,-6.5,50.0
1045,-8.0,43.0
1046,-11.0,51.0
1047,5.0,50.0
1048,-14.5,49.0
1049,-2.5,46.0
1050,-30.0,261.0
1051,-20.0,69.0
1052,-0.5,50.0
1053,33.0,87.0
1054,-4.0,105.0
1055,-8.5,50.0
1056,-4.0,45.0
1057,1.5,54.0
1058,-4.5,50.0
1059,-11.5,63.0
1060,154.0,386.0
1061,8.5,52.0
1062,101.0,370.0
1063,7.0,48.0
1064,4.0,42.0
1065,4.0,48.0
1066,31.0,67.0
1067,27.0,103.0
1068,5.5,53.0
1069,-6.0,48.0
1070,4.0,50.0
1071,3.0,49.0
1072,63.0,237.0
1073,10.5,46.0
1074,3.0,52.0
1075,-3.5,48.0
1076,2.0,49.0
1077,8.5,44.0
1078,-2.0,47.0
1079,6.5,51.0
1080,-2.5,50.0
1081,4.0,48.0
1082,57.5,84.0
1083,-10.5,49.0
1084,-25.5,62.0
1085,64.0,145.0
1086,6.5,49.0
1087,-22.0,47.0
1088,3.0,50.0
1089,-4.5,49.0
1090,-16.5,332.0
1091,11.5,51.0
1092,-96.0,332.0
1093,-55.0,141.0
1094,1.5,49.0
1095,2.0,82.0
1096,-57.0,426.0
1097,3.0,48.0
1098,4.0,48.0
1099,154.0,427.0
1100,-13.0,127.0
1101,110.0,234.0
1102,-51.0,202.0
1103,0.0,48.0
1104,-11.5,50.0
1105,-11.5,45.0
1106,-95.5,503.0
1107,13.5,52.0
1108,2.5,49.0
1109,124.5,411.0
1110,6.0,52.0
1111,-4.5,49.0
1112,5.0,52.0
1113,-133.5,328.0
1114,117.5,504.0
1115,-5.5,47.0
1116,-7.0,123.0
1117,0.0,49.0
1118,-50.0,159.0
1119,9.5,52.0
1120,27.0,103.0
1121,5.5,46.0
1122,8.5,48.0
1123,11.5,46.0
1124,-1.5,47.0
1125,-3.0,51.0
1126,-19.0,103.0
1127,20.5,138.0
1128,-6.0,46.0
1129,6.5,48.0
1130,-1.5,45.0
1131,10.5,85.0
1132,5.0,50.0
1133,-1.5,242.0
1134,-20.0,50.0
1135,10.0,47.0
1136,-7.0,47.0
1137,-36.5,220.0
1138,-30.5,196.0
1139,20.5,71.0
1140,19.5,63.0
1141,-52.5,338.0
1142,-7.0,49.0
1143,5.0,50.0
1144,-44.0,198.0
1145,-8.0,67.0
1146,96.5,200.0
1147,4.0,54.0
1148,-108.0,619.0
1149,-0.5,43.0
1150,82.0,159.0
1151,54.0,316.0
1152,1.0,52.0
1153,3.0,48.0
1154,6.5,85.0
1155,-3.0,52.0
1156,1.0,47.0
1157,-8.5,46.0
1158,2.5,45.0
1159,7.0,49.0
1160,-2.5,50.0
1161,26.5,64.0
1162,-3.0,46.0
1163,17.0,86.0
1164,-20.5,104.0
1165,4.0,85.0
1166,-7.0,67.0
1167,30.0,67.0
1168,-18.5,253.0
1169,11.5,146.0
1170,-40.5,123.0
1171,-7.5,47.0
1172,101.5,408.0
1173,-2.5,48.0
1174,-47.5,181.0
1175,-4.0,47.0
1176,7.5,49.0
1177,15.0,51.0
1178,3.5,50.0
1179,-65.0,103.0
1180,3.0,48.0
1181,25.5,277.0
1182,27.5,65.0
1183,-32.5,64.0
1184,5.5,47.0
1185,20.0,84.0
1186,-5.0,48.0
1187,0.5,46.0
1188,131.5,466.0
1189,5.0,49.0
1190,-1.5,49.0
1191,29.0,66.0
1192,-15.0,46.0
1193,7.0,55.0
1194,12.5,67.0
1195,-4.5,84.0
1196,-5.0,45.0
1197,1.0,48.0
1198,2.0,49.0
1199,44.5,91.0
1200,-3.5,54.0
1201,0.0,55.0
1202,-2.0,83.0
1203,-36.5,237.0
1204,-9.0,51.0
1205,8.0,47.0
1206,37.5,200.0
1207,236.0,405.0
1208,0.0,103.0
1209,-5.5,50.0
1210,-1.5,48.0
1211,7.0,105.0
1212,1.5,52.0
